id,name,category_id,created_by
1,Ananas,1,
2,Avocado,1,
3,Äpfel,1,
4,Bananen,1,
5,Basilikum,1,
6,Beeren,1,
7,Birnen,1,
8,Brokkoli,1,
9,Brombeeren,1,
10,Cherrytomaten,1,
11,Chili,1,
12,Erdbeeren,1,
13,Fenchel,1,
14,Frühlingszwiebeln,1,
15,Gemüse,1,
16,Grapefruit,1,
17,Gurke,1,
18,Himbeeren,1,
19,Ingwer,1,
20,Karfiol,1,
21,Karotten,1,
22,Kartoffeln,1,
23,Kirschen,1,
24,Kiwi,1,
25,Knoblauch,1,
26,Kräuter,1,
27,Kürbis,1,
28,Lauch,1,
29,Limette,1,
30,Mais,1,
31,Mandarinen,1,
32,Mango,1,
33,Marillen,1,
34,Melanzani,1,
35,Melone,1,
36,Nektarine,1,
37,Obst,1,
38,Oliven,1,
39,Orange,1,
40,Paprika,1,
41,Petersilie,1,
42,Pfefferminze,1,
43,Pfirsich,1,
44,Pflaumen,1,
45,Pilze,1,
46,Rucola,1,
47,Salat,1,
48,Salbei,1,
49,Schnittlauch,1,
50,Sellerie,1,
51,Spargel,1,
52,Spinat,1,
53,Thymian,1,
54,Tomaten,1,
55,Trauben,1,
56,Zitrone,1,
57,Zucchini,1,
58,Zwetschken,1,
59,Zwiebeln,1,
60,getrocknete Tomaten,1,
61,Baguette,2,
62,Blätterteig,2,
63,Brot,2,
64,Kipferl,2,
65,Knäckebrot,2,
66,Pizzateig,2,
67,Semmeln,2,
68,Striezel,2,
69,Toast,2,
70,Butter,3,
71,Creme fraiche,3,
72,Eier,3,
73,Frischkäse,3,
74,Hüttenkäse,3,
75,Joghurt,3,
76,Käse,3,
77,Margarine,3,
78,Mascarpone,3,
79,Milch,3,
80,Mozzarella,3,
81,Parmesan,3,
82,Reibkäse,3,
83,Ricotta,3,
84,Sauerrahm,3,
85,Schlagobers,3,
86,Topfen,3,
87,Aufschnitt,4,
88,Bratwurst,4,
89,Faschiertes,4,
90,Fisch,4,
91,Fleisch,4,
92,Frankfurter,4,
93,Huhn,4,
94,Hühnerbrust,4,
95,Kalbfleisch,4,
96,Knackwurst,4,
97,Lachs,4,
98,Pute,4,
99,Putenbrust,4,
100,Rindfleisch,4,
101,Rindsgeschnetzeltes,4,
102,Rohschinken,4,
103,Salami,4,
104,Sardellen,4,
105,Schinken,4,
106,Schnitzel,4,
107,Schweinefleisch,4,
108,Speck,4,
109,Thunfisch,4,
110,Wurst,4,
